Episode = 0, Score = -85.81700419799685, Avg_Score = -85.81700419799685
Episode = 1, Score = -357.9710093067301, Avg_Score = -221.89400675236345
Episode = 2, Score = -186.14814224438672, Avg_Score = -209.97871858303787
Episode = 3, Score = -105.46725167265957, Avg_Score = -183.8508518554433
Episode = 4, Score = -472.06811852307317, Avg_Score = -241.49430518896924
Episode = 5, Score = -73.32838091848606, Avg_Score = -213.46665114388873
Episode = 6, Score = -421.0658274054092, Avg_Score = -243.12367632410593
Episode = 7, Score = -227.6465981089118, Avg_Score = -241.18904154720667
Episode = 8, Score = -188.3376917490158, Avg_Score = -235.3166693474077
Episode = 9, Score = -65.85879171324346, Avg_Score = -218.3708815839913
Episode = 10, Score = -252.97668413121067, Avg_Score = -221.5168636337385
Episode = 11, Score = -137.33349829852634, Avg_Score = -214.50158318913748
Episode = 12, Score = -309.4696442254424, Avg_Score = -221.8068186534686
Episode = 14, Score = -53.626727830762874, Avg_Score = -209.79395502327534
Episode = 15, Score = -103.72937918926466, Avg_Score = -202.72298330100796
Episode = 16, Score = -111.78222941110005, Avg_Score = -197.03918618288873
Episode = 17, Score = -107.23512717420337, Avg_Score = -191.75659447649545
Episode = 18, Score = -77.93391652355405, Avg_Score = -185.43311236799872
Episode = 19, Score = -147.4037116479661, Avg_Score = -183.43156496168123
Episode = 20, Score = -97.85439495635914, Avg_Score = -179.1527064614151
Episode = 21, Score = -198.9592491187799, Avg_Score = -180.0958751593849
Episode = 25, Score = -256.4961672984372, Avg_Score = -183.56861571116
Episode = 27, Score = -37.55363474126272, Avg_Score = -177.22013827768617
Episode = 32, Score = -48.73942074050149, Avg_Score = -171.86677504697016
Episode = 33, Score = -308.79415664552266, Avg_Score = -177.34387031091228
Episode = 35, Score = -393.91874479425667, Avg_Score = -185.6736731756563
Episode = 36, Score = -21.8970915732737, Avg_Score = -179.60787385704953
Episode = 38, Score = 137.89320045374163, Avg_Score = -168.26854977452126
Episode = 39, Score = 5.2213834275074475, Avg_Score = -162.28613828479615
Episode = 40, Score = 30.633634017456103, Avg_Score = -155.85547920805442
Episode = 41, Score = -267.5105785931404, Avg_Score = -159.4572566075733
Episode = 42, Score = -296.23395239547256, Avg_Score = -163.73152835094515
Episode = 43, Score = -315.38727886829327, Avg_Score = -168.32715715450115
Episode = 45, Score = -107.20674948597747, Avg_Score = -166.5294981054269
Episode = 46, Score = 20.941870475966738, Avg_Score = -161.1731732888157
Episode = 47, Score = -24.91642595218751, Avg_Score = -157.388263640576
Episode = 48, Score = 43.4186940495741, Avg_Score = -151.96104856786926
Episode = 49, Score = -141.22900687797443, Avg_Score = -151.6786264181352
Episode = 50, Score = -11.105871235947589, Avg_Score = -148.0741967980791
Episode = 51, Score = -261.7712825102907, Avg_Score = -150.91662394088434
Episode = 52, Score = 116.22005141162741, Avg_Score = -144.40109527374992
Episode = 53, Score = 15.186790284100624, Avg_Score = -140.6013837128487
Episode = 54, Score = 192.91923775168198, Avg_Score = -132.84509019041778
Episode = 55, Score = -51.70156899344269, Avg_Score = -131.00091925412286
Episode = 56, Score = -338.77339148944725, Avg_Score = -135.61808530379673
Episode = 57, Score = -188.29070715949717, Avg_Score = -136.7631423006598
Episode = 58, Score = 16.579238221521365, Avg_Score = -133.50053845976234
Episode = 59, Score = 84.16855784910354, Avg_Score = -128.9657656199943
