Episode = 0, Score = -88.32684288439786, Avg_Score = -88.32684288439786
Episode = 1, Score = -79.14585296296265, Avg_Score = -83.73634792368026
Episode = 2, Score = -430.43099927652594, Avg_Score = -199.30123170796216
Episode = 3, Score = -308.11970601883536, Avg_Score = -226.50585028568045
Episode = 4, Score = -543.2943721206383, Avg_Score = -289.863554652672
Episode = 5, Score = -158.32970503944915, Avg_Score = -267.94124638380157
Episode = 6, Score = -154.06840684801404, Avg_Score = -251.67369787868907
Episode = 7, Score = -220.096593099389, Avg_Score = -247.7265597812765
Episode = 8, Score = -288.2905630610202, Avg_Score = -252.23367125680358
Episode = 9, Score = -305.6434553793431, Avg_Score = -257.5746496690575
Episode = 10, Score = -226.37158706217178, Avg_Score = -254.7380076138861
Episode = 11, Score = -326.25323850051785, Avg_Score = -260.6976101877721
Episode = 12, Score = -651.5823383562865, Avg_Score = -290.76566620073476
Episode = 13, Score = -50.546644494374775, Avg_Score = -273.6071646502805
Episode = 14, Score = -147.3865935779864, Avg_Score = -265.1924599121275
Episode = 15, Score = -162.88494730790353, Avg_Score = -258.79824037436356
Episode = 16, Score = -149.105982731639, Avg_Score = -252.3457546306739
Episode = 17, Score = -140.50995908238642, Avg_Score = -246.13265487799129
Episode = 18, Score = -441.64094928452784, Avg_Score = -256.4225651099143
Episode = 19, Score = -121.51636731044442, Avg_Score = -249.67725521994075
Episode = 20, Score = -123.5444474525895, Avg_Score = -243.67093104054305
Episode = 21, Score = -181.8407771097987, Avg_Score = -240.8604694982365
Episode = 22, Score = -112.61445529707896, Avg_Score = -235.28455583731665
Episode = 23, Score = -98.81990072293544, Avg_Score = -229.59852854088402
Episode = 24, Score = -170.902315506898, Avg_Score = -227.2506800195246
Episode = 25, Score = -135.47912456585544, Avg_Score = -223.7210048097681
Episode = 26, Score = -172.60992763511211, Avg_Score = -221.8280019514475
Episode = 27, Score = -183.89237153846582, Avg_Score = -220.47315800812675
Episode = 28, Score = -341.76421970408103, Avg_Score = -224.6556084114355
Episode = 29, Score = -270.2338957037176, Avg_Score = -226.17488465451157
Episode = 30, Score = -150.1045427709014, Avg_Score = -223.7210026582661
Episode = 31, Score = -527.2181249040029, Avg_Score = -233.20528772844534
Episode = 32, Score = -322.7735811393836, Avg_Score = -235.9194784378677
Episode = 33, Score = -895.8862710885631, Avg_Score = -255.3302664570058
Episode = 34, Score = -536.6921424575588, Avg_Score = -263.3691771998787
Episode = 35, Score = -656.3914208934921, Avg_Score = -274.2864617469235
Episode = 36, Score = -486.00254911303426, Avg_Score = -280.0085181622238
Episode = 37, Score = -388.57240460099615, Avg_Score = -282.86546254219155
Episode = 38, Score = -92.65605849097085, Avg_Score = -277.98829833574996
Episode = 39, Score = -683.2349213079541, Avg_Score = -288.1194639100551
Episode = 40, Score = -562.5365476223953, Avg_Score = -294.8125635127951
Episode = 41, Score = -75.95145652760495, Avg_Score = -289.6015847750526
Episode = 42, Score = -174.79558917018642, Avg_Score = -286.93167790052075
Episode = 43, Score = -355.81814883894276, Avg_Score = -288.49727951275764
Episode = 44, Score = -318.7880955572873, Avg_Score = -289.1704087581916
Episode = 45, Score = -292.58369646963365, Avg_Score = -289.2446106649621
Episode = 46, Score = -576.6871067553542, Avg_Score = -295.3604084541194
Episode = 47, Score = -435.7923937189313, Avg_Score = -298.28607481380294
